Timestamp,DB Host,PC,User,Query,Source IP
2025-08-18 02:00:00,192.168.1.20,192.168.1.10,dbadmin,SELECT * FROM users,203.0.113.45
2025-08-18 02:00:04,192.168.1.20,192.168.1.10,dbadmin,SELECT * FROM users,203.0.113.45
2025-08-18 02:00:08,192.168.1.20,192.168.1.10,dbadmin,SELECT * FROM transactions,203.0.113.45
2025-08-18 02:00:12,192.168.1.20,192.168.1.10,dbadmin,SELECT * FROM users,203.0.113.45
2025-08-18 02:00:16,192.168.1.20,192.168.1.10,dbadmin,SELECT * FROM users,203.0.113.45
2025-08-18 02:00:20,192.168.1.20,192.168.1.10,dbadmin,SELECT * FROM users,203.0.113.45
2025-08-18 02:00:24,192.168.1.20,192.168.1.10,dbadmin,SELECT * FROM transactions,203.0.113.45
2025-08-18 02:00:28,192.168.1.20,192.168.1.10,dbadmin,SELECT * FROM credit_cards,203.0.113.45
2025-08-18 02:00:32,192.168.1.20,192.168.1.10,dbadmin,SELECT * FROM transactions,203.0.113.45
2025-08-18 02:00:36,192.168.1.20,192.168.1.10,dbadmin,SELECT * FROM credit_cards,203.0.113.45
2025-08-18 02:00:40,192.168.1.20,192.168.1.10,dbadmin,SELECT * FROM transactions,203.0.113.45
2025-08-18 02:00:44,192.168.1.20,192.168.1.10,dbadmin,SELECT * FROM users,203.0.113.45
2025-08-18 02:00:48,192.168.1.20,192.168.1.10,dbadmin,SELECT * FROM users,203.0.113.45
2025-08-18 02:00:52,192.168.1.20,192.168.1.10,dbadmin,SELECT * FROM users,203.0.113.45
2025-08-18 02:00:56,192.168.1.20,192.168.1.10,dbadmin,SELECT * FROM transactions,203.0.113.45
2025-08-18 02:01:00,192.168.1.20,192.168.1.10,dbadmin,SELECT * FROM credit_cards,203.0.113.45
2025-08-18 02:01:04,192.168.1.20,192.168.1.10,dbadmin,SELECT * FROM credit_cards,203.0.113.45
2025-08-18 02:01:08,192.168.1.20,192.168.1.10,dbadmin,SELECT * FROM credit_cards,203.0.113.45
2025-08-18 02:01:12,192.168.1.20,192.168.1.10,dbadmin,SELECT * FROM credit_cards,203.0.113.45
2025-08-18 02:01:16,192.168.1.20,192.168.1.10,dbadmin,SELECT * FROM credit_cards,203.0.113.45
