Timestamp,Action,Protocol,Source IP,Source Port,Destination IP,Destination Port
2025-08-18 02:00:00,ALLOW,TCP,203.0.113.45,44657,192.168.1.10,80
2025-08-18 02:00:02,ALLOW,TCP,203.0.113.45,41207,192.168.1.10,80
2025-08-18 02:00:04,ALLOW,TCP,203.0.113.45,49130,192.168.1.10,80
2025-08-18 02:00:06,ALLOW,TCP,203.0.113.45,49863,192.168.1.10,80
2025-08-18 02:00:08,ALLOW,TCP,203.0.113.45,45439,192.168.1.10,80
2025-08-18 02:00:10,ALLOW,TCP,203.0.113.45,47361,192.168.1.10,80
2025-08-18 02:00:12,ALLOW,TCP,203.0.113.45,41384,192.168.1.10,80
2025-08-18 02:00:14,ALLOW,TCP,203.0.113.45,49918,192.168.1.10,80
2025-08-18 02:00:16,ALLOW,TCP,203.0.113.45,41142,192.168.1.10,80
2025-08-18 02:00:18,ALLOW,TCP,203.0.113.45,47046,192.168.1.10,80
2025-08-18 02:00:20,ALLOW,TCP,203.0.113.45,44316,192.168.1.10,80
2025-08-18 02:00:22,ALLOW,TCP,203.0.113.45,45674,192.168.1.10,80
2025-08-18 02:00:24,ALLOW,TCP,203.0.113.45,45389,192.168.1.10,80
2025-08-18 02:00:26,ALLOW,TCP,203.0.113.45,46004,192.168.1.10,80
2025-08-18 02:00:28,ALLOW,TCP,203.0.113.45,43548,192.168.1.10,80
2025-08-18 02:00:30,ALLOW,TCP,203.0.113.45,45462,192.168.1.10,80
2025-08-18 02:00:32,ALLOW,TCP,203.0.113.45,42908,192.168.1.10,80
2025-08-18 02:00:34,ALLOW,TCP,203.0.113.45,48428,192.168.1.10,80
2025-08-18 02:00:36,ALLOW,TCP,203.0.113.45,42624,192.168.1.10,80
2025-08-18 02:00:38,ALLOW,TCP,203.0.113.45,40467,192.168.1.10,80
2025-08-18 02:00:40,ALLOW,TCP,203.0.113.45,41519,192.168.1.10,80
2025-08-18 02:00:42,ALLOW,TCP,203.0.113.45,45416,192.168.1.10,80
2025-08-18 02:00:44,ALLOW,TCP,203.0.113.45,47736,192.168.1.10,80
2025-08-18 02:00:46,ALLOW,TCP,203.0.113.45,49473,192.168.1.10,80
2025-08-18 02:00:48,ALLOW,TCP,203.0.113.45,46149,192.168.1.10,80
2025-08-18 02:00:50,ALLOW,TCP,203.0.113.45,43893,192.168.1.10,80
2025-08-18 02:00:52,ALLOW,TCP,203.0.113.45,45856,192.168.1.10,80
2025-08-18 02:00:54,ALLOW,TCP,203.0.113.45,41797,192.168.1.10,80
2025-08-18 02:00:56,ALLOW,TCP,203.0.113.45,49131,192.168.1.10,80
2025-08-18 02:00:58,ALLOW,TCP,203.0.113.45,41000,192.168.1.10,80
2025-08-18 02:01:00,ALLOW,TCP,203.0.113.45,47172,192.168.1.10,80
2025-08-18 02:01:02,ALLOW,TCP,203.0.113.45,48525,192.168.1.10,80
2025-08-18 02:01:04,ALLOW,TCP,203.0.113.45,49943,192.168.1.10,80
2025-08-18 02:01:06,ALLOW,TCP,203.0.113.45,47843,192.168.1.10,80
2025-08-18 02:01:08,ALLOW,TCP,203.0.113.45,49469,192.168.1.10,80
2025-08-18 02:01:10,ALLOW,TCP,203.0.113.45,49026,192.168.1.10,80
