Timestamp,PC,Destination IP,Action,Size(MB)
2025-08-18 02:00:00,192.168.1.10,45.67.89.10,UPLOAD,1
2025-08-18 02:00:05,192.168.1.10,45.67.89.10,UPLOAD,14
2025-08-18 02:00:10,192.168.1.10,45.67.89.10,UPLOAD,48
2025-08-18 02:00:15,192.168.1.10,45.67.89.10,UPLOAD,8
2025-08-18 02:00:20,192.168.1.10,45.67.89.10,UPLOAD,18
2025-08-18 02:00:25,192.168.1.10,45.67.89.10,UPLOAD,28
2025-08-18 02:00:30,192.168.1.10,45.67.89.10,UPLOAD,23
2025-08-18 02:00:35,192.168.1.10,45.67.89.10,UPLOAD,6
2025-08-18 02:00:40,192.168.1.10,45.67.89.10,UPLOAD,14
2025-08-18 02:00:45,192.168.1.10,45.67.89.10,UPLOAD,46
2025-08-18 02:00:50,192.168.1.10,45.67.89.10,UPLOAD,17
2025-08-18 02:00:55,192.168.1.10,45.67.89.10,UPLOAD,11
2025-08-18 02:01:00,192.168.1.10,45.67.89.10,UPLOAD,40
2025-08-18 02:01:05,192.168.1.10,45.67.89.10,UPLOAD,16
2025-08-18 02:01:10,192.168.1.10,45.67.89.10,UPLOAD,22
2025-08-18 02:01:15,192.168.1.10,45.67.89.10,UPLOAD,19
2025-08-18 02:01:20,192.168.1.10,45.67.89.10,UPLOAD,41
2025-08-18 02:01:25,192.168.1.10,45.67.89.10,UPLOAD,32
2025-08-18 02:01:30,192.168.1.10,45.67.89.10,UPLOAD,34
2025-08-18 02:01:35,192.168.1.10,45.67.89.10,UPLOAD,4
2025-08-18 02:01:40,192.168.1.10,45.67.89.10,UPLOAD,50
2025-08-18 02:01:45,192.168.1.10,45.67.89.10,UPLOAD,19
2025-08-18 02:01:50,192.168.1.10,45.67.89.10,UPLOAD,28
2025-08-18 02:01:55,192.168.1.10,45.67.89.10,UPLOAD,49
2025-08-18 02:02:00,192.168.1.10,45.67.89.10,UPLOAD,35
2025-08-18 02:02:05,192.168.1.10,45.67.89.10,UPLOAD,26
2025-08-18 02:02:10,192.168.1.10,45.67.89.10,UPLOAD,12
2025-08-18 02:02:15,192.168.1.10,45.67.89.10,UPLOAD,22
2025-08-18 02:02:20,192.168.1.10,45.67.89.10,UPLOAD,23
2025-08-18 02:02:25,192.168.1.10,45.67.89.10,UPLOAD,35
2025-08-18 02:02:30,192.168.1.10,45.67.89.10,UPLOAD,11
2025-08-18 02:02:35,192.168.1.10,45.67.89.10,UPLOAD,9
2025-08-18 02:02:40,192.168.1.10,45.67.89.10,UPLOAD,37
2025-08-18 02:02:45,192.168.1.10,45.67.89.10,UPLOAD,2
2025-08-18 02:02:50,192.168.1.10,45.67.89.10,UPLOAD,19
2025-08-18 02:02:55,192.168.1.10,45.67.89.10,UPLOAD,49
2025-08-18 02:03:00,192.168.1.10,45.67.89.10,UPLOAD,2
2025-08-18 02:03:05,192.168.1.10,45.67.89.10,UPLOAD,6
2025-08-18 02:03:10,192.168.1.10,45.67.89.10,UPLOAD,21
2025-08-18 02:03:15,192.168.1.10,45.67.89.10,UPLOAD,38
2025-08-18 02:03:20,192.168.1.10,45.67.89.10,UPLOAD,44
2025-08-18 02:03:25,192.168.1.10,45.67.89.10,UPLOAD,37
2025-08-18 02:03:30,192.168.1.10,45.67.89.10,UPLOAD,45
2025-08-18 02:03:35,192.168.1.10,45.67.89.10,UPLOAD,25
2025-08-18 02:03:40,192.168.1.10,45.67.89.10,UPLOAD,40
2025-08-18 02:03:45,192.168.1.10,45.67.89.10,UPLOAD,33
2025-08-18 02:03:50,192.168.1.10,45.67.89.10,UPLOAD,50
2025-08-18 02:03:55,192.168.1.10,45.67.89.10,UPLOAD,25
2025-08-18 02:04:00,192.168.1.10,45.67.89.10,UPLOAD,29
2025-08-18 02:04:05,192.168.1.10,45.67.89.10,UPLOAD,18
2025-08-18 02:04:10,192.168.1.10,45.67.89.10,UPLOAD,40
2025-08-18 02:04:15,192.168.1.10,45.67.89.10,UPLOAD,38
2025-08-18 02:04:20,192.168.1.10,45.67.89.10,UPLOAD,1
2025-08-18 02:04:25,192.168.1.10,45.67.89.10,UPLOAD,48
2025-08-18 02:04:30,192.168.1.10,45.67.89.10,UPLOAD,25
