Timestamp,DB Host,PC,User,Query
2025-08-18 03:00:00,192.168.1.20,PC-101,dbuser1,SELECT * FROM employee_records
2025-08-18 03:00:06,192.168.1.20,PC-101,dbuser1,SELECT * FROM internal_files
2025-08-18 03:00:10,192.168.1.20,PC-103,dbuser1,SELECT * FROM employee_records
2025-08-18 03:00:15,192.168.1.20,PC-101,dbuser1,SELECT * FROM internal_files
2025-08-18 03:00:21,192.168.1.20,PC-102,dbuser1,SELECT * FROM payroll
2025-08-18 03:00:25,192.168.1.20,PC-102,dbuser1,SELECT * FROM employee_records
2025-08-18 03:00:30,192.168.1.20,PC-103,dbuser1,SELECT * FROM employee_records
2025-08-18 03:00:35,192.168.1.20,PC-103,dbuser1,SELECT * FROM payroll
2025-08-18 03:00:41,192.168.1.20,PC-101,dbuser1,SELECT * FROM internal_files
2025-08-18 03:00:45,192.168.1.20,PC-101,dbuser1,SELECT * FROM internal_files
2025-08-18 03:00:50,192.168.1.20,PC-103,dbuser1,SELECT * FROM payroll
2025-08-18 03:00:55,192.168.1.20,PC-103,dbuser1,SELECT * FROM employee_records
2025-08-18 03:01:01,192.168.1.20,PC-103,dbuser1,SELECT * FROM payroll
2025-08-18 03:01:05,192.168.1.20,PC-102,dbuser1,SELECT * FROM internal_files
2025-08-18 03:01:11,192.168.1.20,PC-101,dbuser1,SELECT * FROM internal_files
2025-08-18 03:01:16,192.168.1.20,PC-102,dbuser1,SELECT * FROM employee_records
2025-08-18 03:01:20,192.168.1.20,PC-103,dbuser1,SELECT * FROM internal_files
2025-08-18 03:01:26,192.168.1.20,PC-102,dbuser1,SELECT * FROM payroll
2025-08-18 03:01:31,192.168.1.20,PC-102,dbuser1,SELECT * FROM employee_records
2025-08-18 03:01:35,192.168.1.20,PC-103,dbuser1,SELECT * FROM employee_records
2025-08-18 03:01:40,192.168.1.20,PC-101,dbuser1,SELECT * FROM employee_records
2025-08-18 03:01:46,192.168.1.20,PC-102,dbuser1,SELECT * FROM employee_records
2025-08-18 03:01:50,192.168.1.20,PC-103,dbuser1,SELECT * FROM employee_records
