Timestamp,PC,Query
2025-08-18 03:00:01,PC-102,badhost.example.net
2025-08-18 03:00:04,PC-101,c2server.example.com
2025-08-18 03:00:07,PC-102,badhost.example.net
2025-08-18 03:00:10,PC-103,data-upload.example.org
2025-08-18 03:00:12,PC-102,badhost.example.net
2025-08-18 03:00:15,PC-102,data-upload.example.org
2025-08-18 03:00:18,PC-101,data-upload.example.org
2025-08-18 03:00:21,PC-103,data-upload.example.org
2025-08-18 03:00:24,PC-101,c2server.example.com
2025-08-18 03:00:28,PC-103,c2server.example.com
2025-08-18 03:00:30,PC-102,data-upload.example.org
2025-08-18 03:00:33,PC-102,c2server.example.com
2025-08-18 03:00:36,PC-102,badhost.example.net
2025-08-18 03:00:40,PC-103,data-upload.example.org
2025-08-18 03:00:42,PC-103,data-upload.example.org
2025-08-18 03:00:45,PC-101,data-upload.example.org
2025-08-18 03:00:48,PC-101,badhost.example.net
2025-08-18 03:00:52,PC-103,badhost.example.net
2025-08-18 03:00:55,PC-103,badhost.example.net
2025-08-18 03:00:58,PC-103,badhost.example.net
2025-08-18 03:01:00,PC-103,badhost.example.net
2025-08-18 03:01:04,PC-103,data-upload.example.org
2025-08-18 03:01:06,PC-103,badhost.example.net
2025-08-18 03:01:10,PC-103,badhost.example.net
2025-08-18 03:01:13,PC-103,badhost.example.net
2025-08-18 03:01:15,PC-101,c2server.example.com
2025-08-18 03:01:18,PC-101,c2server.example.com
2025-08-18 03:01:22,PC-102,c2server.example.com
2025-08-18 03:01:25,PC-103,data-upload.example.org
2025-08-18 03:01:28,PC-101,badhost.example.net
2025-08-18 03:01:30,PC-102,c2server.example.com
2025-08-18 03:01:33,PC-102,data-upload.example.org
2025-08-18 03:01:37,PC-101,c2server.example.com
2025-08-18 03:01:39,PC-102,data-upload.example.org
2025-08-18 03:01:42,PC-101,c2server.example.com
2025-08-18 03:01:45,PC-103,c2server.example.com
2025-08-18 03:01:48,PC-101,badhost.example.net
2025-08-18 03:01:52,PC-101,c2server.example.com
2025-08-18 03:01:55,PC-102,c2server.example.com
2025-08-18 03:01:58,PC-103,badhost.example.net
2025-08-18 03:02:01,PC-103,data-upload.example.org
2025-08-18 03:02:03,PC-103,c2server.example.com
2025-08-18 03:02:07,PC-101,c2server.example.com
2025-08-18 03:02:10,PC-103,badhost.example.net
2025-08-18 03:02:13,PC-103,badhost.example.net
2025-08-18 03:02:15,PC-103,data-upload.example.org
2025-08-18 03:02:19,PC-101,c2server.example.com
2025-08-18 03:02:21,PC-101,data-upload.example.org
2025-08-18 03:02:25,PC-102,data-upload.example.org
2025-08-18 03:02:27,PC-101,c2server.example.com
2025-08-18 03:02:30,PC-101,c2server.example.com
2025-08-18 03:02:34,PC-101,badhost.example.net
2025-08-18 03:02:36,PC-102,c2server.example.com
2025-08-18 03:02:39,PC-101,c2server.example.com
2025-08-18 03:02:43,PC-102,data-upload.example.org
2025-08-18 03:02:45,PC-103,c2server.example.com
2025-08-18 03:02:49,PC-101,badhost.example.net
2025-08-18 03:02:52,PC-103,c2server.example.com
2025-08-18 03:02:55,PC-102,data-upload.example.org
2025-08-18 03:02:57,PC-103,badhost.example.net
2025-08-18 03:03:00,PC-101,c2server.example.com
2025-08-18 03:03:03,PC-103,badhost.example.net
2025-08-18 03:03:07,PC-101,data-upload.example.org
2025-08-18 03:03:10,PC-101,data-upload.example.org
2025-08-18 03:03:13,PC-102,data-upload.example.org
2025-08-18 03:03:15,PC-102,badhost.example.net
2025-08-18 03:03:19,PC-103,c2server.example.com
2025-08-18 03:03:21,PC-101,data-upload.example.org
2025-08-18 03:03:25,PC-102,data-upload.example.org
2025-08-18 03:03:27,PC-101,badhost.example.net
2025-08-18 03:03:30,PC-101,badhost.example.net
2025-08-18 03:03:34,PC-101,c2server.example.com
2025-08-18 03:03:36,PC-102,badhost.example.net
2025-08-18 03:03:40,PC-101,badhost.example.net
2025-08-18 03:03:43,PC-103,c2server.example.com
2025-08-18 03:03:45,PC-102,badhost.example.net
2025-08-18 03:03:49,PC-101,badhost.example.net
2025-08-18 03:03:51,PC-102,badhost.example.net
2025-08-18 03:03:55,PC-103,data-upload.example.org
2025-08-18 03:03:58,PC-103,data-upload.example.org
2025-08-18 03:04:01,PC-102,badhost.example.net
2025-08-18 03:04:03,PC-103,badhost.example.net
2025-08-18 03:04:07,PC-102,badhost.example.net
2025-08-18 03:04:09,PC-101,data-upload.example.org
2025-08-18 03:04:12,PC-102,badhost.example.net
2025-08-18 03:04:16,PC-103,badhost.example.net
2025-08-18 03:04:18,PC-103,badhost.example.net
2025-08-18 03:04:22,PC-101,badhost.example.net
