Timestamp,PC,Event
2025-08-18 03:00:00,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:00:03,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:00:05,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:00:07,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:00:09,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:00:11,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:00:12,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:00:15,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:00:17,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:00:18,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:00:20,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:00:22,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:00:24,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:00:27,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:00:28,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:00:31,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:00:33,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:00:35,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:00:36,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:00:38,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:00:40,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:00:42,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:00:44,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:00:47,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:00:48,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:00:50,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:00:53,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:00:54,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:00:57,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:00:59,PC-101,MalwareDetected Trojan:Win32/Agent
