Timestamp,Action,Protocol,Source IP,Source Port,Destination IP,Destination Port
2025-08-18 03:00:00,BLOCK,TCP,PC-103,46188,45.67.89.10,443
2025-08-18 03:00:06,BLOCK,TCP,PC-103,47070,45.67.89.10,443
2025-08-18 03:00:13,BLOCK,TCP,PC-103,41660,45.67.89.10,443
2025-08-18 03:00:19,BLOCK,TCP,PC-101,42497,45.67.89.10,443
2025-08-18 03:00:25,BLOCK,TCP,PC-103,45735,45.67.89.10,443
2025-08-18 03:00:30,BLOCK,TCP,PC-101,47931,45.67.89.10,443
2025-08-18 03:00:37,BLOCK,TCP,PC-101,42109,45.67.89.10,443
2025-08-18 03:00:42,BLOCK,TCP,PC-103,44155,45.67.89.10,443
2025-08-18 03:00:48,BLOCK,TCP,PC-103,43200,45.67.89.10,443
2025-08-18 03:00:54,BLOCK,TCP,PC-101,46573,45.67.89.10,443
2025-08-18 03:01:01,BLOCK,TCP,PC-103,42539,45.67.89.10,443
2025-08-18 03:01:06,BLOCK,TCP,PC-103,44951,45.67.89.10,443
2025-08-18 03:01:12,BLOCK,TCP,PC-103,43023,45.67.89.10,443
2025-08-18 03:01:18,BLOCK,TCP,PC-101,40446,45.67.89.10,443
2025-08-18 03:01:24,BLOCK,TCP,PC-102,45582,45.67.89.10,443
2025-08-18 03:01:31,BLOCK,TCP,PC-103,45532,45.67.89.10,443
2025-08-18 03:01:37,BLOCK,TCP,PC-101,46288,45.67.89.10,443
2025-08-18 03:01:43,BLOCK,TCP,PC-103,49108,45.67.89.10,443
2025-08-18 03:01:49,BLOCK,TCP,PC-102,49720,45.67.89.10,443
2025-08-18 03:01:55,BLOCK,TCP,PC-103,44505,45.67.89.10,443
2025-08-18 03:02:00,BLOCK,TCP,PC-103,44594,45.67.89.10,443
2025-08-18 03:02:06,BLOCK,TCP,PC-103,48657,45.67.89.10,443
2025-08-18 03:02:12,BLOCK,TCP,PC-102,47440,45.67.89.10,443
2025-08-18 03:02:19,BLOCK,TCP,PC-103,40938,45.67.89.10,443
2025-08-18 03:02:24,BLOCK,TCP,PC-101,47002,45.67.89.10,443
2025-08-18 03:02:31,BLOCK,TCP,PC-102,45736,45.67.89.10,443
2025-08-18 03:02:37,BLOCK,TCP,PC-101,45747,45.67.89.10,443
2025-08-18 03:02:42,BLOCK,TCP,PC-102,46920,45.67.89.10,443
2025-08-18 03:02:49,BLOCK,TCP,PC-101,45009,45.67.89.10,443
2025-08-18 03:02:55,BLOCK,TCP,PC-102,49639,45.67.89.10,443
2025-08-18 03:03:00,BLOCK,TCP,PC-101,40320,45.67.89.10,443
2025-08-18 03:03:06,BLOCK,TCP,PC-102,43112,45.67.89.10,443
2025-08-18 03:03:13,BLOCK,TCP,PC-101,49572,45.67.89.10,443
2025-08-18 03:03:19,BLOCK,TCP,PC-102,49538,45.67.89.10,443
2025-08-18 03:03:25,BLOCK,TCP,PC-103,45020,45.67.89.10,443
2025-08-18 03:03:30,BLOCK,TCP,PC-103,42081,45.67.89.10,443
2025-08-18 03:03:37,BLOCK,TCP,PC-102,47605,45.67.89.10,443
2025-08-18 03:03:42,BLOCK,TCP,PC-103,40998,45.67.89.10,443
2025-08-18 03:03:49,BLOCK,TCP,PC-101,40975,45.67.89.10,443
2025-08-18 03:03:54,BLOCK,TCP,PC-102,46576,45.67.89.10,443
