Timestamp,PC,Destination IP,Action,Size(MB)
2025-08-18 03:00:00,PC-102,45.67.89.10,UPLOAD,40
2025-08-18 03:00:05,PC-101,45.67.89.10,UPLOAD,33
2025-08-18 03:00:09,PC-103,45.67.89.10,UPLOAD,33
2025-08-18 03:00:13,PC-102,45.67.89.10,UPLOAD,21
2025-08-18 03:00:16,PC-103,45.67.89.10,UPLOAD,7
2025-08-18 03:00:20,PC-103,45.67.89.10,UPLOAD,39
2025-08-18 03:00:24,PC-102,45.67.89.10,UPLOAD,39
2025-08-18 03:00:28,PC-101,45.67.89.10,UPLOAD,48
2025-08-18 03:00:33,PC-103,45.67.89.10,UPLOAD,19
2025-08-18 03:00:36,PC-102,45.67.89.10,UPLOAD,41
2025-08-18 03:00:41,PC-101,45.67.89.10,UPLOAD,30
2025-08-18 03:00:45,PC-103,45.67.89.10,UPLOAD,35
2025-08-18 03:00:49,PC-101,45.67.89.10,UPLOAD,27
2025-08-18 03:00:52,PC-103,45.67.89.10,UPLOAD,44
2025-08-18 03:00:56,PC-102,45.67.89.10,UPLOAD,34
2025-08-18 03:01:01,PC-102,45.67.89.10,UPLOAD,31
2025-08-18 03:01:04,PC-102,45.67.89.10,UPLOAD,15
2025-08-18 03:01:08,PC-102,45.67.89.10,UPLOAD,43
2025-08-18 03:01:12,PC-103,45.67.89.10,UPLOAD,15
2025-08-18 03:01:16,PC-101,45.67.89.10,UPLOAD,49
2025-08-18 03:01:21,PC-102,45.67.89.10,UPLOAD,28
2025-08-18 03:01:25,PC-102,45.67.89.10,UPLOAD,19
2025-08-18 03:01:29,PC-103,45.67.89.10,UPLOAD,17
2025-08-18 03:01:33,PC-103,45.67.89.10,UPLOAD,1
2025-08-18 03:01:37,PC-103,45.67.89.10,UPLOAD,35
2025-08-18 03:01:40,PC-103,45.67.89.10,UPLOAD,31
2025-08-18 03:01:44,PC-101,45.67.89.10,UPLOAD,47
2025-08-18 03:01:48,PC-102,45.67.89.10,UPLOAD,23
2025-08-18 03:01:52,PC-101,45.67.89.10,UPLOAD,40
2025-08-18 03:01:56,PC-101,45.67.89.10,UPLOAD,3
2025-08-18 03:02:00,PC-102,45.67.89.10,UPLOAD,35
2025-08-18 03:02:04,PC-101,45.67.89.10,UPLOAD,2
2025-08-18 03:02:09,PC-103,45.67.89.10,UPLOAD,45
2025-08-18 03:02:13,PC-102,45.67.89.10,UPLOAD,39
2025-08-18 03:02:16,PC-103,45.67.89.10,UPLOAD,20
2025-08-18 03:02:21,PC-102,45.67.89.10,UPLOAD,32
2025-08-18 03:02:24,PC-103,45.67.89.10,UPLOAD,46
2025-08-18 03:02:28,PC-102,45.67.89.10,UPLOAD,31
2025-08-18 03:02:32,PC-102,45.67.89.10,UPLOAD,11
2025-08-18 03:02:37,PC-103,45.67.89.10,UPLOAD,14
2025-08-18 03:02:41,PC-103,45.67.89.10,UPLOAD,37
2025-08-18 03:02:45,PC-102,45.67.89.10,UPLOAD,11
2025-08-18 03:02:49,PC-103,45.67.89.10,UPLOAD,20
2025-08-18 03:02:53,PC-101,45.67.89.10,UPLOAD,42
2025-08-18 03:02:56,PC-101,45.67.89.10,UPLOAD,36
2025-08-18 03:03:00,PC-103,45.67.89.10,UPLOAD,3
2025-08-18 03:03:05,PC-103,45.67.89.10,UPLOAD,13
2025-08-18 03:03:09,PC-102,45.67.89.10,UPLOAD,43
2025-08-18 03:03:12,PC-102,45.67.89.10,UPLOAD,14
2025-08-18 03:03:17,PC-102,45.67.89.10,UPLOAD,14
2025-08-18 03:03:21,PC-102,45.67.89.10,UPLOAD,29
2025-08-18 03:03:24,PC-101,45.67.89.10,UPLOAD,21
2025-08-18 03:03:29,PC-101,45.67.89.10,UPLOAD,35
2025-08-18 03:03:32,PC-102,45.67.89.10,UPLOAD,45
2025-08-18 03:03:36,PC-103,45.67.89.10,UPLOAD,18
2025-08-18 03:03:40,PC-103,45.67.89.10,UPLOAD,13
2025-08-18 03:03:44,PC-103,45.67.89.10,UPLOAD,12
2025-08-18 03:03:49,PC-101,45.67.89.10,UPLOAD,34
2025-08-18 03:03:52,PC-102,45.67.89.10,UPLOAD,15
2025-08-18 03:03:57,PC-102,45.67.89.10,UPLOAD,4
2025-08-18 03:04:00,PC-101,45.67.89.10,UPLOAD,11
2025-08-18 03:04:04,PC-103,45.67.89.10,UPLOAD,46
2025-08-18 03:04:08,PC-101,45.67.89.10,UPLOAD,48
2025-08-18 03:04:13,PC-102,45.67.89.10,UPLOAD,41
2025-08-18 03:04:17,PC-102,45.67.89.10,UPLOAD,39
2025-08-18 03:04:20,PC-102,45.67.89.10,UPLOAD,31
2025-08-18 03:04:25,PC-103,45.67.89.10,UPLOAD,48
2025-08-18 03:04:28,PC-101,45.67.89.10,UPLOAD,5
2025-08-18 03:04:33,PC-103,45.67.89.10,UPLOAD,48
2025-08-18 03:04:37,PC-102,45.67.89.10,UPLOAD,42
2025-08-18 03:04:41,PC-103,45.67.89.10,UPLOAD,14
2025-08-18 03:04:44,PC-102,45.67.89.10,UPLOAD,31
2025-08-18 03:04:48,PC-103,45.67.89.10,UPLOAD,17
2025-08-18 03:04:53,PC-102,45.67.89.10,UPLOAD,36
2025-08-18 03:04:56,PC-102,45.67.89.10,UPLOAD,31
2025-08-18 03:05:00,PC-101,45.67.89.10,UPLOAD,28
2025-08-18 03:05:04,PC-102,45.67.89.10,UPLOAD,2
2025-08-18 03:05:09,PC-102,45.67.89.10,UPLOAD,49
2025-08-18 03:05:12,PC-101,45.67.89.10,UPLOAD,11
2025-08-18 03:05:16,PC-102,45.67.89.10,UPLOAD,4
2025-08-18 03:05:21,PC-101,45.67.89.10,UPLOAD,32
2025-08-18 03:05:25,PC-102,45.67.89.10,UPLOAD,49
2025-08-18 03:05:28,PC-101,45.67.89.10,UPLOAD,43
2025-08-18 03:05:33,PC-102,45.67.89.10,UPLOAD,47
2025-08-18 03:05:37,PC-102,45.67.89.10,UPLOAD,50
2025-08-18 03:05:41,PC-103,45.67.89.10,UPLOAD,31
2025-08-18 03:05:44,PC-102,45.67.89.10,UPLOAD,14
